Commune,Cercle,Secteur,Lieu-dit,Date attaque,Num semaine,Animaux concernés,Victimes constatées,Taille troupeau ou lot,Conclusion expertise_ DDT,Decision indemnisation,Protocole,Num AP tir,Année
VATILIEU,2,Bas Grésivaudan,Charbonnière,14/04/17,,Ovin,8,40,Loup,Oui,,,2017
VATILIEU,2,Bas Grésivaudan,Charbonnière,16/04/17,,Ovin,7,40,Loup,Oui,,,2017
VATILIEU,2,Bas Grésivaudan,Charbonnière,17/04/17,,Ovin,2,40,Loup,Oui,,,2017
VATILIEU,2,Bas Grésivaudan,Charbonnière,04/05/17,,Ovin,3,40,Loup,Oui,,,2017
VATILIEU,1,Bas Grésivaudan,Charbonnière,17/05/17,,Ovin,1,5,Loup,Oui,,,2017
LES CÔTES-DE-CORPS,1,Beaumont,les Cros,09/07/17,,Bovin,3,17,Chien,Non - loup exclu,,,2017
SAINTE-LUCE,1,Beaumont,Chauvet,10/07/17,,Veau naissant,1,45,Charognard,Non - loup exclu,,,2017
CORPS,1,Beaumont,Gleyzin,25/07/17,,Bovin,1,6,Chien,Non - loup exclu,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,le Gleyzin,26/06/17,,Ovin,1,800,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,le Gleyzin,30/06/17,,Ovin,1,800,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,le Gleyzin,14/07/17,,Ovin,2,800,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,la Cantine,17/07/17,,Ovin,6,881,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,la Belle Etoile,18/07/17,,Ovin,1,871,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,Les 7 Laux / l'Agnelin,01/08/17,,Ovin,1,870,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,les 7 Laux,05/08/17,,Ovin,1,869,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,l'Arpette,06/08/17,,Ovin,2,500,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,les 7 Laux,14/08/17,,Ovin,1,868,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,les 7 Laux,17/08/17,,Ovin,1,867,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,l'Arpette,19/08/17,,Ovin,1,565,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,l'Arpette,20/08/17,,Ovin,2,565,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,les 7 Laux,20/08/17,,Ovin,1,866,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,l'Arpette,24/08/17,,Ovin,4,500,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,"les 7 Laux, la Cantine",30/08/17,,Ovin,2,865,Loup,Oui,,,2017
LE HAUT-BRÉDA,1,Belledonne Centre,l'Arpette,03/09/17,,Ovin,16,476,Loup,Oui,,,2017
